,time,open,high,low,close,volume
1561,2020-11-09 08:00:00,88.7267081486,88.7267081486,88.7267081486,88.7267081486,450
1560,2020-11-09 10:00:00,89.6801497406,91.1905522626,88.5190278019,90.222950647,240176
1559,2020-11-09 11:00:00,90.1521505287,90.8035116163,89.2931090944,90.4316693955,188551
1558,2020-11-09 12:00:00,90.4542310331,90.8412716794,90.1143904657,90.2559907021,124171
1557,2020-11-09 13:00:00,90.3692708913,91.2471923571,90.3031907809,90.9923119316,125800
1556,2020-11-09 14:00:00,90.9828719158,91.1999922783,90.3220708125,90.340950844,122343
1555,2020-11-09 15:00:00,90.3881509228,90.5108711277,89.5763095672,89.585749583,134034
1554,2020-11-09 16:00:00,89.54798952,89.7273498194,88.1791872344,88.3491075182,352727
1553,2020-11-09 17:00:00,88.2924674236,88.2924674236,88.2924674236,88.2924674236,194602
1552,2020-11-10 10:00:00,88.4057476127,89.1515088579,87.8582266985,88.5001477704,116510
1551,2020-11-10 11:00:00,88.5190278019,89.0004686058,88.0328669901,88.0328669901,204174
1550,2020-11-10 12:00:00,88.0564670295,88.4718277231,87.8299066512,88.2641473763,106244
1549,2020-11-10 13:00:00,88.2169472975,88.7267081486,87.839346667,87.8676667143,115054
1548,2020-11-10 14:00:00,87.8299066512,88.4529476915,87.6033462729,88.4387876679,175493
1547,2020-11-10 15:00:00,88.4387876679,88.8588683693,88.2830274078,88.5756678965,146680
1546,2020-11-10 16:00:00,88.5851079122,88.6228679753,88.1791872344,88.4151876285,453182
1545,2020-11-10 17:00:00,88.4151876285,88.4151876285,88.4151876285,88.4151876285,174543
1544,2020-11-11 10:00:00,87.3295858158,89.0193486373,87.3295858158,88.5048677782,84948
1543,2020-11-11 11:00:00,88.5095877861,88.9060684481,88.43406766,88.6889480856,141084
1542,2020-11-11 12:00:00,88.6889480856,88.9155084639,88.5756678965,88.8494283536,116865
1541,2020-11-11 13:00:00,88.8494283536,89.1420688422,88.4151876285,89.1420688422,113801
1540,2020-11-11 14:00:00,89.1477328516,89.6895897564,88.9815885742,89.0099086215,135394
1539,2020-11-11 15:00:00,89.0099086215,89.1043087791,88.43406766,88.6653480462,131813
1538,2020-11-11 16:00:00,88.6653480462,89.1703888895,88.5190278019,89.1326288264,233891
1537,2020-11-11 17:00:00,89.1326288264,89.1326288264,89.1326288264,89.1326288264,19977
1536,2020-11-12 10:00:00,88.8871884166,89.1515088579,88.0281469822,88.2641473763,70521
1535,2020-11-12 11:00:00,88.2547073605,88.6134279595,87.678866399,88.4529476915,114894
1534,2020-11-12 12:00:00,88.4529476915,88.7455881802,88.037586998,88.2075072817,86389
1533,2020-11-12 13:00:00,88.1791872344,88.2547073605,87.3956659262,87.6222263045,55896
1532,2020-11-12 14:00:00,87.6033462729,87.6033462729,86.7820649016,87.2210256346,71312
1531,2020-11-12 15:00:00,87.2163056267,87.2791761317,86.7065447755,86.7631848701,73755
1530,2020-11-12 16:00:00,86.7254248071,87.2351856582,86.5743845549,87.1313454848,312702
1529,2020-11-12 17:00:00,87.1407855006,88.3003970368,87.1407855006,88.3003970368,43466
1528,2020-11-13 10:00:00,87.6599863675,88.1131071241,87.2918257528,88.1131071241,54008
1527,2020-11-13 11:00:00,88.1508671872,88.5190278019,87.7428697059,88.4151876285,75645
1526,2020-11-13 12:00:00,88.4151876285,88.6983881014,87.801586604,88.1414271714,104797
1525,2020-11-13 13:00:00,88.1752224278,88.2641473763,87.9288380164,87.9288380164,43085
1524,2020-11-13 14:00:00,87.9620668719,88.2641473763,87.9006123693,88.0564670295,64002
1523,2020-11-13 15:00:00,88.0942270926,88.2924674236,87.7104904518,87.839346667,97005
1522,2020-11-13 16:00:00,87.8299066512,88.2641473763,87.6694263833,88.0564670295,183755
1521,2020-11-13 17:00:00,88.0659070453,88.0659070453,88.0659070453,88.0659070453,94247
1520,2020-11-13 18:00:00,88.0659070453,88.0659070453,88.0659070453,88.0659070453,1878
1519,2020-11-16 08:00:00,88.830548322,88.830548322,88.830548322,88.830548322,318
1518,2020-11-16 10:00:00,88.9343884954,89.2459090156,87.9526268561,88.4718277231,85272
1517,2020-11-16 11:00:00,88.4435076758,88.4623877073,87.2729457213,87.9715068877,95609
1516,2020-11-16 12:00:00,87.9903869192,88.2830274078,87.9337468246,87.9951069271,52259
1515,2020-11-16 13:00:00,88.0281469822,88.5379078334,87.9243068089,88.4435076758,43993
1514,2020-11-16 14:00:00,88.4718277231,88.4954277625,87.9337468246,88.4246276443,74705
1513,2020-11-16 15:00:00,88.396307597,88.5756678965,88.0187069665,88.5048677782,74654
1512,2020-11-16 16:00:00,88.4812677388,89.1798289052,88.3019074393,89.1420688422,268766
1511,2020-11-16 17:00:00,89.1420688422,89.1420688422,89.1420688422,89.1420688422,47917
1510,2020-11-17 10:00:00,88.7550281959,88.9532685269,88.1319871556,88.7550281959,66322
1509,2020-11-17 11:00:00,88.8258283142,88.9627085427,87.7260664779,87.9330860235,86129
1508,2020-11-17 12:00:00,87.8959867616,88.396307597,87.839346667,87.999826935,109012
1507,2020-11-17 13:00:00,88.0187069665,88.1414271714,87.6883064148,87.801586604,63492
