,time,open,high,low,close,volume
682,2020-11-09 08:00:00,98.6754979055,98.8642602162,98.6754979055,98.8642602162,202
681,2020-11-09 10:00:00,98.8170696385,100.846264478,98.4233114584,98.7038122521,203744
680,2020-11-09 11:00:00,98.543364288,99.4682996103,98.0997728579,99.2130929663,131805
679,2020-11-09 12:00:00,99.2040323754,100.091215236,99.0530225268,99.232346722,129368
678,2020-11-09 13:00:00,99.4116709171,100.2516632,99.3361659928,100.110091467,104803
677,2020-11-09 14:00:00,100.119529582,100.336606239,99.4211090327,99.4966139569,102972
676,2020-11-09 15:00:00,99.5249283035,99.6193094589,98.8170696385,98.9963938336,118798
675,2020-11-09 16:00:00,99.0530225268,99.1757180288,97.8071912764,97.9487630094,306390
674,2020-11-09 17:00:00,97.9959535871,97.9959535871,97.9959535871,97.9959535871,26077
673,2020-11-10 10:00:00,98.0431441647,98.8453839851,97.9346058361,98.7887552919,79127
672,2020-11-10 11:00:00,98.9586413715,100.044024658,98.7510028298,99.1190893356,153707
671,2020-11-10 12:00:00,99.1945942598,99.6665000365,98.6188692123,99.0011128914,134031
670,2020-11-10 13:00:00,98.9586413715,99.2795372996,98.3829163239,98.4206687861,98667
669,2020-11-10 14:00:00,98.4489831327,99.0671797001,98.3923544395,99.0671797001,86731
668,2020-11-10 15:00:00,99.10965122,99.3644803395,98.8831364472,99.0341462958,90466
667,2020-11-10 16:00:00,99.0058319492,99.1190893356,98.543364288,98.949203256,348525
666,2020-11-10 17:00:00,98.9586413715,98.9586413715,98.9586413715,98.9586413715,22119
665,2020-11-11 10:00:00,99.3927946861,99.5249283035,98.6566216744,98.7981934074,72429
664,2020-11-11 11:00:00,98.7132503676,99.4116709171,98.5905548657,99.3078516462,70284
663,2020-11-11 12:00:00,99.2417848375,99.4777377259,99.0813368734,99.373918455,68552
662,2020-11-11 13:00:00,99.3550422239,99.5909951123,99.2417848375,99.5532426501,73502
661,2020-11-11 14:00:00,99.6098713433,100.015710311,99.1662799132,99.1662799132,144511
660,2020-11-11 15:00:00,99.1851561443,99.3078516462,98.2413445909,98.3357257463,168040
659,2020-11-11 16:00:00,98.3262876307,98.6094310967,98.0242679337,98.5999929812,268587
658,2020-11-11 17:00:00,98.5622405191,98.5622405191,98.5622405191,98.5622405191,18945
657,2020-11-11 20:00:00,99.1285274511,99.1285274511,99.1285274511,99.1285274511,960
656,2020-11-12 10:00:00,98.0406687898,98.363545847,97.2904544509,98.0644097499,73663
655,2020-11-12 11:00:00,98.0121796377,98.0596615578,97.2619652988,97.9362085654,91170
654,2020-11-12 12:00:00,97.841244725,98.2828265827,97.7557772687,97.7557772687,90497
653,2020-11-12 13:00:00,97.7082953485,98.0406687898,97.043548466,97.2144833786,95224
652,2020-11-12 14:00:00,97.1954906105,97.2429725307,96.5972184163,97.2002388026,112785
651,2020-11-12 15:00:00,97.1859942265,97.3949146753,96.9485846256,97.05304485,86661
650,2020-11-12 16:00:00,97.0340520819,97.3664255232,96.6826858726,97.3284399871,235826
649,2020-11-12 17:00:00,97.2904544509,98.052444306,97.2904544509,98.052444306,26865
648,2020-11-13 10:00:00,97.7937628048,97.9552013334,97.2999508349,97.8887266452,57191
647,2020-11-13 11:00:00,97.9646977175,98.0596615578,97.4433462339,97.8887266452,80503
646,2020-11-13 12:00:00,97.9172157973,98.3160639268,97.4613893636,97.584842356,57357
645,2020-11-13 13:00:00,97.584842356,97.7177917325,97.4044110593,97.4044110593,51412
644,2020-11-13 14:00:00,97.3949146753,97.7652736527,97.3664255232,97.4993748997,63212
643,2020-11-13 15:00:00,97.5088712837,97.8222519569,96.7396641768,96.8517215084,144190
642,2020-11-13 16:00:00,96.8441244012,97.2524689148,96.6731894886,97.0340520819,320698
641,2020-11-13 17:00:00,96.9960665458,96.9960665458,96.9960665458,96.9960665458,19712
640,2020-11-13 18:00:00,96.9960665458,96.9960665458,96.9960665458,96.9960665458,538
639,2020-11-16 10:00:00,97.9267121813,98.0406687898,97.0847627727,97.8697338771,123831
638,2020-11-16 11:00:00,97.8602374931,97.8602374931,96.791894289,97.1859942265,104682
637,2020-11-16 12:00:00,97.1954906105,97.850741109,97.1100231542,97.5183676678,92951
636,2020-11-16 13:00:00,97.5468568199,98.0121796377,97.3379363711,97.8792302612,94565
635,2020-11-16 14:00:00,97.8602374931,97.8602374931,97.2334761467,97.6133315081,96256
634,2020-11-16 15:00:00,97.575345972,97.575345972,97.0815340021,97.4139074434,164046
633,2020-11-16 16:00:00,97.4329002114,98.9048397371,97.318943603,98.7908831286,554813
632,2020-11-16 17:00:00,98.7908831286,98.7908831286,98.7908831286,98.7908831286,92321
631,2020-11-17 10:00:00,97.6703098124,98.2495892386,97.4803821316,98.0691579419,75613
630,2020-11-17 11:00:00,98.2021073184,98.3255603109,96.5592328801,96.796642481,109125
